,train,valid,rs,mode,n_samples,scaling,train_aux
0,1.0,0.79,4,finetuning,100,0.5,
0,1.0,0.73,8,finetuning,20,0.5,
0,0.997,0.91,16,finetuning,1000,0.5,
0,1.0,0.965,22,finetuning,200,1.0,
0,1.0,0.91,3,finetuning,200,2.0,
0,1.0,0.755,8,finetuning,50,0.25,
0,0.999,0.935,22,singletask,1000,,
0,1.0,0.78,0,finetuning,20,0.125,
0,1.0,0.935,13,finetuning,100,1.0,
0,1.0,0.765,20,finetuning,20,1.0,
0,0.998,0.945,7,finetuning,1000,0.125,
0,1.0,0.775,4,finetuning,50,0.5,
0,1.0,0.835,23,finetuning,50,2.0,
0,0.996,0.945,35,singletask,1000,,
0,0.998,0.885,11,finetuning,500,0.5,
0,1.0,0.6,28,finetuning,10,1.0,
0,0.995,0.735,20,finetuning,1000,0.125,
0,1.0,0.595,27,finetuning,10,2.0,
0,1.0,0.79,24,finetuning,500,0.25,
0,1.0,0.72,46,multitask,50,,0.0949795918367347
0,1.0,0.72,0,finetuning,10,0.5,
0,1.0,0.75,27,finetuning,500,2.0,
0,1.0,0.92,6,finetuning,500,1.0,
0,1.0,0.855,22,finetuning,100,0.25,
0,1.0,0.87,3,finetuning,200,0.125,
0,0.998,0.935,22,finetuning,1000,0.25,
0,1.0,0.895,15,singletask,50,,
0,1.0,0.855,10,finetuning,200,0.5,
0,1.0,0.705,22,finetuning,10,0.5,
0,1.0,0.795,3,multitask,100,,0.10426530612244898
0,1.0,0.66,5,finetuning,10,2.0,
0,0.998,0.73,27,multitask,500,,0.2543469387755102
0,1.0,0.795,17,finetuning,100,2.0,
0,1.0,0.835,38,multitask,50,,0.1106326530612245
0,1.0,0.825,1,finetuning,50,2.0,
0,1.0,0.85,21,finetuning,100,0.5,
0,0.99,0.84,11,finetuning,200,0.125,
0,1.0,0.84,26,finetuning,50,0.5,
0,1.0,0.71,37,singletask,100,,
0,1.0,0.73,4,finetuning,50,0.125,
0,1.0,0.67,17,singletask,10,,
0,1.0,0.74,18,multitask,10,,0.03893877551020408
0,1.0,0.955,7,finetuning,200,1.0,
0,1.0,0.615,2,finetuning,10,0.125,
0,1.0,0.955,26,finetuning,200,2.0,
0,0.998,0.86,2,finetuning,500,2.0,
0,1.0,0.925,23,finetuning,500,1.0,
0,1.0,0.79,34,multitask,200,,0.12953061224489795
0,1.0,0.695,35,singletask,20,,
0,1.0,0.89,31,singletask,200,,
0,0.999,0.935,1,finetuning,1000,2.0,
0,0.999,0.99,26,finetuning,1000,1.0,
0,1.0,0.795,25,multitask,1000,,0.32551020408163267
0,1.0,0.82,46,singletask,10,,
0,1.0,0.78,2,finetuning,20,1.0,
0,1.0,0.585,44,singletask,50,,
0,1.0,0.91,9,finetuning,1000,1.0,
0,1.0,0.61,45,multitask,10,,0.10820408163265306
0,1.0,0.625,9,finetuning,20,0.25,
0,1.0,0.7,20,finetuning,200,0.25,
0,0.996,0.91,18,finetuning,500,1.0,
0,0.998,0.975,14,singletask,500,,
0,1.0,0.73,9,singletask,100,,
0,0.997,0.91,17,finetuning,1000,0.5,
0,0.88,0.6,40,multitask,100,,0.0890204081632653
0,1.0,0.495,3,finetuning,10,0.25,
0,0.997,0.97,12,singletask,1000,,
0,0.996,0.89,1,finetuning,500,0.125,
0,1.0,0.67,20,multitask,10,,0.1076938775510204
0,0.998,0.88,18,finetuning,1000,0.125,
0,1.0,0.81,5,finetuning,20,1.0,
0,1.0,0.865,0,multitask,10,,0.07079591836734694
0,1.0,0.9,33,multitask,500,,0.24618367346938774
0,1.0,0.635,1,finetuning,20,0.125,
0,1.0,0.54,16,finetuning,50,0.25,
0,1.0,0.78,21,finetuning,50,0.5,
0,1.0,0.82,6,finetuning,50,2.0,
0,1.0,0.74,5,singletask,10,,
0,1.0,0.795,34,multitask,20,,0.12422448979591837
0,1.0,0.84,9,finetuning,50,1.0,
0,0.998,0.74,25,finetuning,500,0.25,
0,1.0,0.815,7,singletask,50,,
0,1.0,0.865,23,finetuning,100,0.25,
0,1.0,0.81,11,multitask,100,,0.11126530612244898
0,1.0,0.625,2,finetuning,10,2.0,
0,1.0,0.74,21,singletask,20,,
0,1.0,0.745,20,multitask,200,,0.13146938775510203
0,1.0,0.73,25,finetuning,10,0.5,
0,0.998,0.89,1,singletask,500,,
0,1.0,0.7,48,singletask,20,,
0,1.0,0.805,49,multitask,200,,0.1203469387755102
0,1.0,0.64,7,finetuning,10,0.5,
0,1.0,0.65,17,finetuning,20,0.25,
0,0.999,0.895,18,finetuning,1000,0.25,
0,1.0,0.59,20,finetuning,10,2.0,
0,1.0,0.64,39,singletask,50,,
0,0.995,0.98,30,multitask,1000,,0.3093061224489796
0,1.0,0.745,3,multitask,50,,0.11851020408163265
0,1.0,0.705,24,singletask,200,,
0,1.0,0.705,5,finetuning,50,0.125,
0,1.0,0.72,24,finetuning,50,2.0,
0,1.0,0.5,3,finetuning,10,0.125,
0,1.0,0.7,26,finetuning,10,0.25,
0,1.0,0.835,3,finetuning,50,0.5,
0,1.0,0.8,23,multitask,50,,0.08493877551020408
0,1.0,0.66,24,finetuning,100,0.125,
0,1.0,0.6,27,finetuning,20,1.0,
0,1.0,0.855,13,finetuning,500,0.125,
0,1.0,0.81,27,finetuning,1000,1.0,
0,1.0,0.825,22,singletask,100,,
0,0.998,0.975,0,finetuning,1000,2.0,
0,0.55,0.5,17,multitask,20,,0.008306122448979592
0,1.0,0.81,19,finetuning,200,1.0,
0,1.0,0.84,43,singletask,500,,
0,1.0,0.545,19,singletask,20,,
0,1.0,0.77,18,multitask,200,,0.12163265306122449
0,1.0,0.875,29,multitask,100,,0.1323265306122449
0,0.998,0.925,8,finetuning,1000,1.0,
0,1.0,0.865,28,finetuning,100,1.0,
0,1.0,0.8,9,finetuning,100,2.0,
0,1.0,0.725,28,finetuning,20,2.0,
0,0.995,0.825,21,finetuning,200,0.25,
0,1.0,0.665,42,singletask,500,,
0,1.0,0.89,26,finetuning,20,2.0,
0,1.0,0.855,9,finetuning,500,2.0,
0,1.0,1.0,14,finetuning,1000,0.5,
0,1.0,0.735,6,multitask,10,,0.061061224489795916
0,1.0,0.805,39,multitask,100,,0.11393877551020408
0,1.0,0.65,1,finetuning,20,0.5,
0,1.0,0.865,26,multitask,10,,0.09787755102040817
0,0.998,0.885,13,finetuning,1000,0.125,
0,1.0,0.865,11,finetuning,100,0.125,
0,1.0,0.835,23,singletask,100,,
0,1.0,0.635,2,finetuning,20,0.25,
0,1.0,0.65,2,finetuning,20,0.125,
0,1.0,0.79,29,singletask,50,,
0,0.998,0.945,31,multitask,1000,,0.31614285714285717
0,1.0,0.825,26,finetuning,50,0.25,
0,1.0,0.745,25,singletask,200,,
0,0.998,0.935,26,finetuning,500,0.125,
0,1.0,0.685,21,finetuning,10,1.0,
0,1.0,0.805,32,multitask,20,,0.07481632653061225
0,0.998,0.83,9,finetuning,500,0.25,
0,0.996,0.94,26,finetuning,500,0.25,
0,0.998,0.74,42,singletask,1000,,
0,1.0,0.915,0,singletask,500,,
0,1.0,0.64,9,finetuning,10,0.5,
0,1.0,0.725,25,finetuning,50,1.0,
0,1.0,0.735,20,finetuning,100,0.25,
0,1.0,0.7,25,multitask,50,,0.10951020408163266
0,1.0,0.595,42,singletask,10,,
0,1.0,0.8,5,multitask,50,,0.1223469387755102
0,1.0,0.78,31,singletask,20,,
0,1.0,0.92,30,multitask,200,,0.0953061224489796
0,1.0,0.965,7,finetuning,50,1.0,
0,1.0,0.565,27,finetuning,20,0.25,
0,1.0,0.72,8,finetuning,50,2.0,
0,1.0,0.685,6,finetuning,50,0.125,
0,1.0,0.565,3,finetuning,10,1.0,
0,1.0,0.645,40,singletask,50,,
0,1.0,0.68,0,finetuning,10,0.125,
0,1.0,0.54,16,finetuning,10,0.25,
0,1.0,0.905,24,finetuning,1000,1.0,
0,1.0,0.93,3,finetuning,1000,2.0,
0,1.0,0.86,8,finetuning,200,2.0,
0,1.0,0.9,23,multitask,500,,0.2658979591836735
0,1.0,0.875,7,multitask,100,,0.11644897959183674
0,1.0,0.78,11,singletask,50,,
0,0.998,0.945,15,singletask,500,,
0,1.0,0.665,23,finetuning,20,0.5,
0,1.0,0.66,3,finetuning,50,0.25,
0,1.0,0.745,11,multitask,20,,0.059
0,1.0,0.68,8,singletask,100,,
0,1.0,0.795,4,finetuning,20,2.0,
0,1.0,0.92,18,finetuning,100,1.0,
0,1.0,0.72,13,singletask,10,,
0,1.0,0.775,3,finetuning,100,0.125,
0,1.0,0.86,22,finetuning,200,0.25,
0,1.0,0.645,1,singletask,10,,
0,0.999,0.95,15,finetuning,1000,0.5,
0,1.0,0.78,3,finetuning,20,2.0,
0,1.0,0.985,12,finetuning,200,1.0,
0,1.0,0.665,24,finetuning,20,0.5,
0,1.0,0.685,24,multitask,200,,0.12220408163265306
0,1.0,0.625,25,singletask,20,,
0,1.0,0.845,15,multitask,100,,0.11918367346938775
0,1.0,0.915,30,singletask,200,,
0,1.0,0.825,5,finetuning,200,0.5,
0,1.0,0.82,3,singletask,50,,
0,0.998,0.885,24,multitask,1000,,0.3167755102040816
0,0.996,0.865,5,finetuning,1000,0.25,
0,1.0,0.675,3,finetuning,20,0.125,
0,1.0,0.825,2,finetuning,100,2.0,
0,1.0,0.925,23,finetuning,100,1.0,
0,1.0,0.74,24,finetuning,200,0.125,
0,1.0,0.765,4,finetuning,10,1.0,
0,0.88,0.56,44,multitask,100,,0.07193877551020408
0,1.0,0.835,36,singletask,100,,
0,0.998,0.83,5,singletask,1000,,
0,1.0,0.73,40,multitask,50,,0.10024489795918368
0,1.0,0.885,21,finetuning,500,0.5,
0,1.0,0.74,28,finetuning,50,0.5,
0,0.998,0.84,8,finetuning,500,0.25,
0,0.998,0.66,27,finetuning,500,0.25,
0,1.0,0.995,0,finetuning,50,1.0,
0,1.0,0.86,17,finetuning,500,2.0,
0,1.0,0.765,9,multitask,20,,0.07920408163265306
0,1.0,0.795,37,multitask,500,,0.26648979591836736
0,1.0,0.845,21,finetuning,100,0.25,
0,1.0,0.79,29,multitask,20,,0.10744897959183673
0,1.0,0.78,20,finetuning,200,0.5,
0,1.0,0.96,22,finetuning,50,1.0,
0,1.0,0.725,28,finetuning,50,0.125,
0,1.0,0.72,27,finetuning,100,2.0,
0,1.0,0.92,6,finetuning,100,1.0,
0,1.0,0.765,11,finetuning,100,0.5,
0,1.0,0.935,26,finetuning,10,1.0,
0,1.0,0.73,7,finetuning,50,0.125,
0,1.0,0.87,16,finetuning,200,2.0,
0,1.0,0.505,1,finetuning,10,0.125,
0,1.0,0.865,9,multitask,500,,0.25695918367346937
0,1.0,0.935,13,finetuning,500,1.0,
0,0.997,0.87,2,finetuning,1000,2.0,
0,0.997,0.83,25,finetuning,1000,1.0,
0,1.0,0.765,43,multitask,10,,0.10046938775510204
0,1.0,0.755,8,finetuning,10,0.25,
0,0.997,0.84,17,finetuning,1000,0.25,
0,1.0,0.715,6,finetuning,20,0.5,
0,1.0,0.93,4,finetuning,500,0.5,
0,0.995,0.855,23,finetuning,200,0.25,
0,1.0,0.665,21,finetuning,20,2.0,
0,0.999,0.965,12,finetuning,1000,0.5,
0,1.0,0.725,7,finetuning,20,0.25,
0,1.0,0.975,12,finetuning,20,1.0,
0,0.997,0.835,46,singletask,1000,,
0,1.0,0.775,4,finetuning,20,0.125,
0,1.0,0.785,9,finetuning,100,0.25,
0,1.0,0.815,4,finetuning,200,0.125,
0,1.0,0.865,9,finetuning,200,1.0,
0,0.999,0.745,25,finetuning,1000,0.25,
0,1.0,0.855,11,finetuning,50,2.0,
0,1.0,0.76,19,finetuning,100,2.0,
0,0.996,0.765,20,finetuning,500,0.25,
0,1.0,0.69,19,finetuning,100,0.125,
0,1.0,0.81,23,finetuning,50,0.25,
0,1.0,0.785,15,finetuning,10,2.0,
0,1.0,0.885,26,finetuning,100,0.25,
0,1.0,0.685,13,finetuning,10,0.25,
0,1.0,0.785,34,singletask,100,,
0,1.0,0.515,27,singletask,10,,
0,1.0,0.93,8,finetuning,500,1.0,
0,1.0,0.675,16,finetuning,200,0.125,
0,1.0,0.615,10,finetuning,10,0.5,
0,0.997,0.875,8,singletask,1000,,
0,1.0,0.69,25,singletask,50,,
0,0.998,0.95,18,multitask,1000,,0.30614285714285716
0,1.0,0.88,0,finetuning,50,0.125,
0,1.0,0.745,22,finetuning,20,0.25,
0,1.0,0.75,2,multitask,200,,0.12506122448979592
0,1.0,0.66,3,singletask,20,,
0,1.0,0.88,17,multitask,500,,0.23806122448979591
0,1.0,0.675,6,finetuning,10,0.125,
0,1.0,0.925,14,finetuning,50,0.5,
0,0.999,0.975,22,finetuning,1000,1.0,
0,0.998,0.885,5,finetuning,1000,2.0,
0,1.0,0.84,46,multitask,500,,0.2703877551020408
0,1.0,0.74,40,multitask,20,,0.09965306122448979
0,1.0,0.735,6,finetuning,50,0.25,
0,0.6,0.5,9,multitask,50,,0.008836734693877552
0,1.0,0.825,32,singletask,200,,
0,1.0,0.88,35,multitask,100,,0.10212244897959184
0,0.997,0.72,16,finetuning,1000,0.125,
0,0.999,0.98,26,multitask,1000,,0.28083673469387754
0,1.0,0.74,24,finetuning,200,0.25,
0,1.0,0.815,29,multitask,50,,0.1263061224489796
0,1.0,0.68,18,finetuning,20,0.5,
0,0.997,0.955,13,finetuning,1000,0.5,
0,1.0,0.92,7,finetuning,100,2.0,
0,1.0,0.96,26,finetuning,100,1.0,
0,1.0,0.74,25,multitask,20,,0.1113265306122449
0,0.999,0.89,1,singletask,1000,,
0,0.995,0.96,0,finetuning,200,0.5,
0,1.0,0.74,5,multitask,20,,0.11516326530612245
0,1.0,0.78,31,singletask,50,,
0,1.0,0.815,17,singletask,500,,
0,1.0,0.87,17,finetuning,200,1.0,
0,0.998,0.88,6,finetuning,500,0.125,
0,1.0,0.69,33,singletask,10,,
0,1.0,0.835,41,multitask,200,,0.12122448979591836
0,1.0,0.535,40,singletask,20,,
0,1.0,0.57,5,finetuning,20,0.125,
0,1.0,0.83,8,finetuning,100,0.25,
0,1.0,0.775,48,singletask,100,,
0,1.0,0.615,28,finetuning,10,0.25,
0,1.0,0.75,13,finetuning,50,0.5,
0,1.0,0.86,31,multitask,10,,0.08108163265306123
0,1.0,0.99,12,finetuning,500,2.0,
0,1.0,0.715,21,multitask,100,,0.09726530612244898
0,1.0,0.73,10,multitask,200,,0.10728571428571429
0,1.0,0.82,11,singletask,20,,
0,1.0,0.87,5,multitask,500,,0.2704489795918367
0,0.82,0.74,11,multitask,50,,0.07216326530612245
0,1.0,0.745,17,finetuning,10,0.5,
0,1.0,0.505,19,finetuning,20,0.25,
0,0.998,0.89,21,finetuning,500,0.25,
0,1.0,0.825,29,singletask,500,,
0,0.998,0.86,24,finetuning,500,0.5,
0,1.0,0.615,27,finetuning,100,0.25,
0,1.0,0.91,12,finetuning,10,2.0,
0,1.0,0.87,13,finetuning,200,2.0,
0,1.0,0.63,28,finetuning,10,0.125,
0,1.0,0.905,33,multitask,1000,,0.32073469387755105
0,1.0,0.82,23,finetuning,100,0.125,
0,1.0,0.625,27,singletask,200,,
0,1.0,0.785,19,finetuning,50,1.0,
0,1.0,0.955,14,finetuning,100,0.5,
0,1.0,0.705,1,finetuning,50,0.125,
0,1.0,0.925,22,finetuning,100,2.0,
0,1.0,0.93,3,finetuning,100,1.0,
0,0.998,0.85,2,singletask,500,,
0,1.0,0.755,48,multitask,100,,0.12644897959183674
0,1.0,0.795,16,finetuning,50,2.0,
0,1.0,0.725,18,finetuning,50,0.25,
0,1.0,0.62,7,finetuning,10,0.125,
0,1.0,0.77,25,finetuning,200,0.5,
0,0.996,0.93,4,finetuning,1000,2.0,
0,0.996,0.75,40,singletask,500,,
0,0.999,0.965,23,finetuning,1000,1.0,
0,1.0,0.62,19,singletask,200,,
0,0.998,0.885,1,finetuning,500,0.5,
0,1.0,0.735,28,multitask,200,,0.12346938775510204
0,1.0,0.68,29,singletask,20,,
0,0.89,0.64,19,multitask,100,,0.07981632653061224
0,1.0,0.8,32,multitask,50,,0.10218367346938775
0,1.0,0.915,15,finetuning,20,1.0,
0,1.0,0.775,21,singletask,100,,
0,0.995,0.76,25,finetuning,200,0.25,
0,0.999,0.82,9,finetuning,1000,0.125,
0,0.998,0.965,14,finetuning,500,0.125,
0,1.0,0.785,12,multitask,10,,0.025408163265306122
0,0.998,0.95,16,finetuning,500,1.0,
0,1.0,0.77,48,singletask,50,,
0,0.998,0.885,10,finetuning,1000,0.5,
0,1.0,0.75,20,singletask,100,,
0,1.0,0.915,16,finetuning,100,1.0,
0,0.997,0.925,31,singletask,1000,,
0,1.0,0.965,14,finetuning,20,2.0,
0,1.0,0.705,16,finetuning,100,0.125,
0,1.0,0.88,41,singletask,500,,
0,1.0,0.85,18,singletask,200,,
0,1.0,0.74,3,multitask,20,,0.08518367346938775
0,1.0,0.9,38,multitask,200,,0.14483673469387756
0,1.0,0.53,39,singletask,20,,
0,1.0,0.79,27,finetuning,200,1.0,
0,1.0,0.89,6,finetuning,200,2.0,
0,1.0,0.75,1,finetuning,100,0.5,
0,1.0,0.86,23,multitask,20,,0.11802040816326531
0,1.0,0.695,6,finetuning,20,0.125,
0,1.0,0.76,18,finetuning,10,0.25,
0,1.0,0.745,13,finetuning,10,1.0,
0,0.998,0.915,3,singletask,500,,
0,1.0,0.86,18,finetuning,50,2.0,
0,1.0,0.96,22,finetuning,500,2.0,
0,0.998,0.94,3,finetuning,500,1.0,
0,1.0,0.705,17,multitask,50,,0.10138775510204082
0,1.0,0.67,19,singletask,50,,
0,0.998,0.855,21,finetuning,500,0.125,
0,0.998,0.925,32,multitask,1000,,0.31442857142857145
0,1.0,0.865,17,finetuning,50,1.0,
0,1.0,1.0,14,finetuning,500,0.5,
0,1.0,0.905,26,singletask,200,,
0,0.998,0.92,22,finetuning,500,0.25,
0,1.0,0.57,37,multitask,10,,0.09055102040816326
0,0.997,0.945,26,singletask,1000,,
0,1.0,0.71,24,finetuning,100,0.25,
0,1.0,0.89,2,finetuning,200,1.0,
0,1.0,0.91,23,finetuning,200,2.0,
0,1.0,0.72,49,multitask,10,,0.08465306122448979
0,0.998,0.785,28,singletask,500,,
0,1.0,0.765,42,multitask,500,,0.24448979591836734
0,1.0,0.525,19,finetuning,10,0.5,
0,0.998,0.705,25,finetuning,1000,0.125,
0,1.0,0.75,24,finetuning,100,0.5,
0,1.0,0.98,12,finetuning,100,2.0,
0,1.0,0.76,49,singletask,100,,
0,1.0,0.655,2,finetuning,50,0.125,
0,1.0,0.755,4,finetuning,10,0.125,
0,1.0,0.77,28,finetuning,50,0.25,
0,1.0,0.88,31,multitask,100,,0.12138775510204082
0,1.0,0.92,15,finetuning,200,0.5,
0,0.996,0.85,16,singletask,500,,
0,1.0,0.96,7,finetuning,1000,2.0,
0,1.0,0.815,4,finetuning,100,0.125,
0,0.998,0.86,20,finetuning,1000,1.0,
0,1.0,0.91,14,multitask,10,,0.050244897959183674
0,1.0,0.795,9,finetuning,200,0.25,
0,1.0,0.605,23,singletask,10,,
0,0.995,0.695,19,finetuning,200,0.125,
0,1.0,0.79,34,multitask,50,,0.11387755102040817
0,1.0,0.95,13,multitask,500,,0.24059183673469386
0,1.0,0.92,26,finetuning,200,0.25,
0,0.999,0.835,2,finetuning,1000,0.125,
0,1.0,0.95,7,finetuning,500,2.0,
0,1.0,0.71,7,singletask,20,,
0,0.998,0.97,26,finetuning,500,1.0,
0,0.945,0.64,6,multitask,200,,0.12428571428571429
0,1.0,0.74,11,finetuning,20,0.5,
0,1.0,0.75,21,singletask,50,,
0,1.0,0.72,28,finetuning,20,0.125,
0,1.0,0.89,1,multitask,500,,0.2526734693877551
0,0.998,0.865,2,finetuning,1000,0.25,
0,1.0,0.58,16,finetuning,20,0.5,
0,0.997,0.89,11,finetuning,1000,0.5,
0,1.0,0.825,15,singletask,20,,
0,1.0,0.98,14,multitask,200,,0.11936734693877551
0,0.995,0.795,33,singletask,200,,
0,1.0,0.74,25,multitask,100,,0.11548979591836735
0,0.995,0.845,23,finetuning,200,0.125,
0,1.0,0.755,27,multitask,1000,,0.33540816326530615
0,1.0,0.74,38,multitask,20,,0.11781632653061225
0,1.0,0.71,6,finetuning,10,0.25,
0,1.0,0.57,7,finetuning,20,0.125,
0,1.0,0.79,35,singletask,50,,
0,1.0,0.915,18,finetuning,200,2.0,
