,baseline,seed,correlation,magnitude,split,loss,load_model,n_train,setup,one_task,setup2
0,0.028636693954467773,0,0.8,1.0,val,0.016718972474336624,True,32,backprop,True,PT+FT
1,0.028636693954467773,0,0.8,1.0,val,0.007989888079464436,True,64,backprop,True,PT+FT
2,0.028636693954467773,0,0.8,1.0,val,0.0014643461909145117,True,128,backprop,True,PT+FT
3,0.028636693954467773,0,0.8,1.0,val,1.023885761242127e-05,True,256,backprop,True,PT+FT
4,0.028636693954467773,0,0.8,1.0,val,5.830334544043581e-07,True,512,backprop,True,PT+FT
5,0.028636693954467773,0,0.8,1.0,val,1.272840535193609e-07,True,1024,backprop,True,PT+FT
6,0.028636693954467773,0,0.8,1.0,val,0.028636693954467773,False,32,backprop,True,STL
7,0.028636693954467773,0,0.8,1.0,val,0.016155818477272987,False,64,backprop,True,STL
8,0.028636693954467773,0,0.8,1.0,val,0.004567504860460758,False,128,backprop,True,STL
9,0.028636693954467773,0,0.8,1.0,val,0.0002301197819178924,False,256,backprop,True,STL
10,0.028636693954467773,0,0.8,1.0,val,1.3386723367148079e-05,False,512,backprop,True,STL
11,0.028636693954467773,0,0.8,1.0,val,2.9947236157568113e-07,False,1024,backprop,True,STL
12,0.007112696301192045,0,0.8,0.5,val,0.004100646823644638,True,32,backprop,True,PT+FT
13,0.007112696301192045,0,0.8,0.5,val,0.002106443280354142,True,64,backprop,True,PT+FT
14,0.007112696301192045,0,0.8,0.5,val,0.0005925018340349197,True,128,backprop,True,PT+FT
15,0.007112696301192045,0,0.8,0.5,val,8.531224921171088e-06,True,256,backprop,True,PT+FT
16,0.007112696301192045,0,0.8,0.5,val,3.2915539804889704e-07,True,512,backprop,True,PT+FT
17,0.007112696301192045,0,0.8,0.5,val,6.040468036871971e-08,True,1024,backprop,True,PT+FT
18,0.007112696301192045,0,0.8,0.5,val,0.007112696301192045,False,32,backprop,True,STL
19,0.007112696301192045,0,0.8,0.5,val,0.0039530908688902855,False,64,backprop,True,STL
20,0.007112696301192045,0,0.8,0.5,val,0.0011869119480252266,False,128,backprop,True,STL
21,0.007112696301192045,0,0.8,0.5,val,7.202917186077684e-05,False,256,backprop,True,STL
22,0.007112696301192045,0,0.8,0.5,val,3.885596470354358e-06,False,512,backprop,True,STL
23,0.007112696301192045,0,0.8,0.5,val,1.0739081801602879e-07,False,1024,backprop,True,STL
24,0.0002785813412629068,0,0.8,0.1,val,0.0001591102045495063,True,32,backprop,True,PT+FT
25,0.0002785813412629068,0,0.8,0.1,val,8.540209819329903e-05,True,64,backprop,True,PT+FT
26,0.0002785813412629068,0,0.8,0.1,val,4.063527740072459e-05,True,128,backprop,True,PT+FT
27,0.0002785813412629068,0,0.8,0.1,val,5.4718157116440125e-06,True,256,backprop,True,PT+FT
28,0.0002785813412629068,0,0.8,0.1,val,5.562142746384779e-07,True,512,backprop,True,PT+FT
29,0.0002785813412629068,0,0.8,0.1,val,4.807110443039164e-08,True,1024,backprop,True,PT+FT
30,0.0002785813412629068,0,0.8,0.1,val,0.0002785813412629068,False,32,backprop,True,STL
31,0.0002785813412629068,0,0.8,0.1,val,0.00015364284627139568,False,64,backprop,True,STL
32,0.0002785813412629068,0,0.8,0.1,val,4.9594997108215466e-05,False,128,backprop,True,STL
33,0.0002785813412629068,0,0.8,0.1,val,4.3982704482914414e-06,False,256,backprop,True,STL
34,0.0002785813412629068,0,0.8,0.1,val,2.468445075010095e-07,False,512,backprop,True,STL
35,0.0002785813412629068,0,0.8,0.1,val,1.7458255285873747e-08,False,1024,backprop,True,STL
36,6.808376929257065e-05,0,0.8,0.05,val,3.92617002944462e-05,True,32,backprop,True,PT+FT
37,6.808376929257065e-05,0,0.8,0.05,val,2.3087071895133704e-05,True,64,backprop,True,PT+FT
38,6.808376929257065e-05,0,0.8,0.05,val,1.1742191418306902e-05,True,128,backprop,True,PT+FT
39,6.808376929257065e-05,0,0.8,0.05,val,2.5167248622892657e-06,True,256,backprop,True,PT+FT
40,6.808376929257065e-05,0,0.8,0.05,val,3.221696829314169e-07,True,512,backprop,True,PT+FT
41,6.808376929257065e-05,0,0.8,0.05,val,2.7545105751869414e-08,True,1024,backprop,True,PT+FT
42,6.808376929257065e-05,0,0.8,0.05,val,6.808376929257065e-05,False,32,backprop,True,STL
43,6.808376929257065e-05,0,0.8,0.05,val,3.755506986635737e-05,False,64,backprop,True,STL
44,6.808376929257065e-05,0,0.8,0.05,val,1.2472429261833895e-05,False,128,backprop,True,STL
45,6.808376929257065e-05,0,0.8,0.05,val,1.3934502476331545e-06,False,256,backprop,True,STL
46,6.808376929257065e-05,0,0.8,0.05,val,8.303160825562372e-08,False,512,backprop,True,STL
47,6.808376929257065e-05,0,0.8,0.05,val,8.90246631968239e-09,False,1024,backprop,True,STL
48,2.601072310426389e-06,0,0.8,0.01,val,1.688413703959668e-06,True,32,backprop,True,PT+FT
49,2.601072310426389e-06,0,0.8,0.01,val,1.056379005603958e-06,True,64,backprop,True,PT+FT
50,2.601072310426389e-06,0,0.8,0.01,val,6.049943408470426e-07,True,128,backprop,True,PT+FT
51,2.601072310426389e-06,0,0.8,0.01,val,1.7027554122250876e-07,True,256,backprop,True,PT+FT
52,2.601072310426389e-06,0,0.8,0.01,val,4.118683705200965e-08,True,512,backprop,True,PT+FT
53,2.601072310426389e-06,0,0.8,0.01,val,1.240764380128212e-08,True,1024,backprop,True,PT+FT
54,2.601072310426389e-06,0,0.8,0.01,val,2.601072310426389e-06,False,32,backprop,True,STL
55,2.601072310426389e-06,0,0.8,0.01,val,1.4530272665069788e-06,False,64,backprop,True,STL
56,2.601072310426389e-06,0,0.8,0.01,val,5.346436182662728e-07,False,128,backprop,True,STL
57,2.601072310426389e-06,0,0.8,0.01,val,8.490476943734393e-08,False,256,backprop,True,STL
58,2.601072310426389e-06,0,0.8,0.01,val,1.1997509652417193e-08,False,512,backprop,True,STL
59,2.601072310426389e-06,0,0.8,0.01,val,3.3777058927597636e-09,False,1024,backprop,True,STL
60,0.030460644513368607,0,0.9,1.0,val,0.013107162900269032,True,32,backprop,True,PT+FT
61,0.030460644513368607,0,0.9,1.0,val,0.005080066155642271,True,64,backprop,True,PT+FT
62,0.030460644513368607,0,0.9,1.0,val,0.0003887330531142652,True,128,backprop,True,PT+FT
63,0.030460644513368607,0,0.9,1.0,val,2.9676875783479773e-06,True,256,backprop,True,PT+FT
64,0.030460644513368607,0,0.9,1.0,val,2.486593189132691e-07,True,512,backprop,True,PT+FT
65,0.030460644513368607,0,0.9,1.0,val,5.4608356947483117e-08,True,1024,backprop,True,PT+FT
66,0.030460644513368607,0,0.9,1.0,val,0.030460644513368607,False,32,backprop,True,STL
67,0.030460644513368607,0,0.9,1.0,val,0.01929588057100773,False,64,backprop,True,STL
68,0.030460644513368607,0,0.9,1.0,val,0.006086764391511679,False,128,backprop,True,STL
69,0.030460644513368607,0,0.9,1.0,val,0.00029415322933346033,False,256,backprop,True,STL
70,0.030460644513368607,0,0.9,1.0,val,1.1933455425605644e-05,False,512,backprop,True,STL
71,0.030460644513368607,0,0.9,1.0,val,1.6934795610268338e-07,False,1024,backprop,True,STL
72,0.0075224763713777065,0,0.9,0.5,val,0.0025717641692608595,True,32,backprop,True,PT+FT
73,0.0075224763713777065,0,0.9,0.5,val,0.0011520986445248127,True,64,backprop,True,PT+FT
74,0.0075224763713777065,0,0.9,0.5,val,0.00016521480574738234,True,128,backprop,True,PT+FT
75,0.0075224763713777065,0,0.9,0.5,val,1.4566438721885788e-06,True,256,backprop,True,PT+FT
76,0.0075224763713777065,0,0.9,0.5,val,1.068748218813198e-07,True,512,backprop,True,PT+FT
77,0.0075224763713777065,0,0.9,0.5,val,2.2929500076429576e-08,True,1024,backprop,True,PT+FT
78,0.0075224763713777065,0,0.9,0.5,val,0.0075224763713777065,False,32,backprop,True,STL
79,0.0075224763713777065,0,0.9,0.5,val,0.0047042397782206535,False,64,backprop,True,STL
80,0.0075224763713777065,0,0.9,0.5,val,0.0013627560110762715,False,128,backprop,True,STL
81,0.0075224763713777065,0,0.9,0.5,val,7.828416710253805e-05,False,256,backprop,True,STL
82,0.0075224763713777065,0,0.9,0.5,val,4.290364358894294e-06,False,512,backprop,True,STL
83,0.0075224763713777065,0,0.9,0.5,val,6.283026010578396e-08,False,1024,backprop,True,STL
84,0.00029521435499191284,0,0.9,0.1,val,8.711899863556027e-05,True,32,backprop,True,PT+FT
85,0.00029521435499191284,0,0.9,0.1,val,4.593285484588705e-05,True,64,backprop,True,PT+FT
86,0.00029521435499191284,0,0.9,0.1,val,1.733684621285647e-05,True,128,backprop,True,PT+FT
87,0.00029521435499191284,0,0.9,0.1,val,1.9614267330325674e-06,True,256,backprop,True,PT+FT
88,0.00029521435499191284,0,0.9,0.1,val,2.1138282590982271e-07,True,512,backprop,True,PT+FT
89,0.00029521435499191284,0,0.9,0.1,val,3.6201939224156376e-08,True,1024,backprop,True,PT+FT
90,0.00029521435499191284,0,0.9,0.1,val,0.00029521435499191284,False,32,backprop,True,STL
91,0.00029521435499191284,0,0.9,0.1,val,0.00017410311556886882,False,64,backprop,True,STL
92,0.00029521435499191284,0,0.9,0.1,val,5.304533988237381e-05,False,128,backprop,True,STL
93,0.00029521435499191284,0,0.9,0.1,val,3.939138878195081e-06,False,256,backprop,True,STL
94,0.00029521435499191284,0,0.9,0.1,val,2.6026827981695533e-07,False,512,backprop,True,STL
95,0.00029521435499191284,0,0.9,0.1,val,1.1838063862512627e-08,False,1024,backprop,True,STL
96,7.255662785610184e-05,0,0.9,0.05,val,2.222589318989776e-05,True,32,backprop,True,PT+FT
97,7.255662785610184e-05,0,0.9,0.05,val,1.2203633559693117e-05,True,64,backprop,True,PT+FT
98,7.255662785610184e-05,0,0.9,0.05,val,5.139712811796926e-06,True,128,backprop,True,PT+FT
99,7.255662785610184e-05,0,0.9,0.05,val,9.589311957824975e-07,True,256,backprop,True,PT+FT
100,7.255662785610184e-05,0,0.9,0.05,val,1.444752513179992e-07,True,512,backprop,True,PT+FT
101,7.255662785610184e-05,0,0.9,0.05,val,2.9490964337242076e-08,True,1024,backprop,True,PT+FT
102,7.255662785610184e-05,0,0.9,0.05,val,7.255662785610184e-05,False,32,backprop,True,STL
103,7.255662785610184e-05,0,0.9,0.05,val,4.1697447159094736e-05,False,64,backprop,True,STL
104,7.255662785610184e-05,0,0.9,0.05,val,1.3631878573505674e-05,False,128,backprop,True,STL
105,7.255662785610184e-05,0,0.9,0.05,val,1.1236280670345877e-06,False,256,backprop,True,STL
106,7.255662785610184e-05,0,0.9,0.05,val,8.854708966055114e-08,False,512,backprop,True,STL
107,7.255662785610184e-05,0,0.9,0.05,val,7.181526484600909e-09,False,1024,backprop,True,STL
108,2.7424875952419825e-06,0,0.9,0.01,val,1.0008418485085713e-06,True,32,backprop,True,PT+FT
109,2.7424875952419825e-06,0,0.9,0.01,val,5.803231033496559e-07,True,64,backprop,True,PT+FT
110,2.7424875952419825e-06,0,0.9,0.01,val,2.930912046394951e-07,True,128,backprop,True,PT+FT
111,2.7424875952419825e-06,0,0.9,0.01,val,8.392613892738154e-08,True,256,backprop,True,PT+FT
112,2.7424875952419825e-06,0,0.9,0.01,val,3.192367614701652e-08,True,512,backprop,True,PT+FT
113,2.7424875952419825e-06,0,0.9,0.01,val,1.4318207064434318e-08,True,1024,backprop,True,PT+FT
114,2.7424875952419825e-06,0,0.9,0.01,val,2.7424875952419825e-06,False,32,backprop,True,STL
115,2.7424875952419825e-06,0,0.9,0.01,val,1.5347317230407498e-06,False,64,backprop,True,STL
116,2.7424875952419825e-06,0,0.9,0.01,val,5.738226604989904e-07,False,128,backprop,True,STL
117,2.7424875952419825e-06,0,0.9,0.01,val,7.080114983182284e-08,False,256,backprop,True,STL
118,2.7424875952419825e-06,0,0.9,0.01,val,1.1504602603906733e-08,False,512,backprop,True,STL
119,2.7424875952419825e-06,0,0.9,0.01,val,3.01301161798051e-09,False,1024,backprop,True,STL
120,0.03149237111210823,0,0.95,1.0,val,0.010578646324574947,True,32,backprop,True,PT+FT
121,0.03149237111210823,0,0.95,1.0,val,0.0034168357960879803,True,64,backprop,True,PT+FT
122,0.03149237111210823,0,0.95,1.0,val,0.00014245708007365465,True,128,backprop,True,PT+FT
123,0.03149237111210823,0,0.95,1.0,val,1.1359683185219183e-06,True,256,backprop,True,PT+FT
124,0.03149237111210823,0,0.95,1.0,val,1.996407803517286e-07,True,512,backprop,True,PT+FT
125,0.03149237111210823,0,0.95,1.0,val,4.408587273019293e-08,True,1024,backprop,True,PT+FT
126,0.03149237111210823,0,0.95,1.0,val,0.03149237111210823,False,32,backprop,True,STL
127,0.03149237111210823,0,0.95,1.0,val,0.019010029733181,False,64,backprop,True,STL
128,0.03149237111210823,0,0.95,1.0,val,0.006045896094292402,False,128,backprop,True,STL
129,0.03149237111210823,0,0.95,1.0,val,0.00023326606606133282,False,256,backprop,True,STL
130,0.03149237111210823,0,0.95,1.0,val,8.47476167109562e-06,False,512,backprop,True,STL
131,0.03149237111210823,0,0.95,1.0,val,2.16055710211549e-07,False,1024,backprop,True,STL
132,0.007756983861327171,0,0.95,0.5,val,0.0018075016560032964,True,32,backprop,True,PT+FT
133,0.007756983861327171,0,0.95,0.5,val,0.0006506596691906452,True,64,backprop,True,PT+FT
134,0.007756983861327171,0,0.95,0.5,val,3.4239641536260024e-05,True,128,backprop,True,PT+FT
135,0.007756983861327171,0,0.95,0.5,val,4.031570597362588e-07,True,256,backprop,True,PT+FT
136,0.007756983861327171,0,0.95,0.5,val,7.564297277440346e-08,True,512,backprop,True,PT+FT
137,0.007756983861327171,0,0.95,0.5,val,1.6312627693082504e-08,True,1024,backprop,True,PT+FT
138,0.007756983861327171,0,0.95,0.5,val,0.007756983861327171,False,32,backprop,True,STL
139,0.007756983861327171,0,0.95,0.5,val,0.004714719485491514,False,64,backprop,True,STL
140,0.007756983861327171,0,0.95,0.5,val,0.001349485362879932,False,128,backprop,True,STL
141,0.007756983861327171,0,0.95,0.5,val,7.129835285013542e-05,False,256,backprop,True,STL
142,0.007756983861327171,0,0.95,0.5,val,2.9767111300316174e-06,False,512,backprop,True,STL
143,0.007756983861327171,0,0.95,0.5,val,8.809776375073852e-08,False,1024,backprop,True,STL
144,0.00030258315382525325,0,0.95,0.1,val,4.7240991989383474e-05,True,32,backprop,True,PT+FT
145,0.00030258315382525325,0,0.95,0.1,val,2.4023996957112104e-05,True,64,backprop,True,PT+FT
146,0.00030258315382525325,0,0.95,0.1,val,5.862959824298741e-06,True,128,backprop,True,PT+FT
147,0.00030258315382525325,0,0.95,0.1,val,4.4815888600169274e-07,True,256,backprop,True,PT+FT
148,0.00030258315382525325,0,0.95,0.1,val,5.330211294563014e-08,True,512,backprop,True,PT+FT
149,0.00030258315382525325,0,0.95,0.1,val,1.3862297087996467e-08,True,1024,backprop,True,PT+FT
